Anesthesia for Procedures on the Head,100,222
Anesthesia for Procedures on the Neck,300,352
Anesthesia for Procedures on the Thorax,400,474
Anesthesia for Intrathoracic Procedures,500,580
Anesthesia for Procedures on the Spine and Spinal Cord,600,670
Anesthesia for Procedures on the Upper Abdomen,700,797
Anesthesia for Procedures on the Lower Abdomen,800,882
Anesthesia for Procedures on the Perineum,902,952
Anesthesia for Procedures on the Pelvis (Except Hip),1112,1173
Anesthesia for Procedures on the Upper Leg (Except Knee),1200,1274
Anesthesia for Procedures on the Knee and Popliteal Area,1320,1444
Anesthesia for Procedures on the Lower Leg (Below Knee),1462,1522
Anesthesia for Procedures on the Shoulder and Axilla,1610,1680
Anesthesia for Procedures on the Upper Arm and Elbow,1710,1782
"Anesthesia for Procedures on the Forearm, Wrist, and Hand",1810,1860
Anesthesia for Radiological Procedures,1916,1936
Anesthesia for Burn Excisions or Debridement Procedures,1951,1953
Anesthesia for Obstetric Procedures,1958,1969
Anesthesia for Other Procedures,1990,1999
Fine Needle Aspiration Biopsy Procedures,10004,10021
"Surgical Procedures on the Skin, Subcutaneous and Accessory Structures",10030,11646
Surgical Procedures on the Nails,11719,11765
Surgical Procedures on the Pilonidal Cyst,11770,11772
Introduction or Removal Procedures on the Integumentary System,11900,11983
Surgical Repair (Closure) Procedures on the Integumentary System,12001,16036
Destruction Procedures on the Integumentary System,17000,17999
Surgical Procedures on the Breast,19000,19499
General Surgical Procedures on the Musculoskeletal System,20100,20999
Surgical Procedures on the Head,21010,21499
Surgical Procedures on the Neck (Soft Tissues) and Thorax,21501,21899
Surgical Procedures on the Back and Flank,21920,21936
Surgical Procedures on the Spine (Vertebral Column),22010,22899
Surgical Procedures on the Abdomen,22900,22999
Surgical Procedures on the Shoulder,23000,23929
Surgical Procedures on the Humerus (Upper Arm) and Elbow,23930,24999
Surgical Procedures on the Forearm and Wrist,25000,25999
Surgical Procedures on the Hand and Fingers,26010,26989
Surgical Procedures on the Pelvis and Hip Joint,26990,27299
Surgical Procedures on the Femur (Thigh Region) and Knee Joint,27301,27599
Surgical Procedures on the Leg (Tibia and Fibula) and Ankle Joint,27600,27899
Surgical Procedures on the Foot and Toes,28001,28899
Application of Casts and Strapping,29000,29799
Endoscopy/Arthroscopy Procedures on the Musculoskeletal System,29800,29999
Surgical Procedures on the Nose,30000,30999
Surgical Procedures on the Accessory Sinuses,31000,31299
Surgical Procedures on the Larynx,31300,31599
Surgical Procedures on the Trachea and Bronchi,31600,31899
Surgical Procedures on the Lungs and Pleura,32035,32999
Surgical Procedures on the Heart and Pericardium,33016,33999
Surgical Procedures on Arteries and Veins,34001,37799
Surgical Procedures on the Spleen,38100,38200
General Surgical Procedures on the Hemic and Lymphatic Systems,38204,38232
Transplantation and Post-Transplantation Cellular Infusion Procedures on the Hemic and Lymphatic Systems,38240,38243
Surgical Procedures on the Lymph Nodes and Lymphatic Channels,38300,38999
Surgical Procedures on the Mediastinum,39000,39499
Surgical Procedures on the Diaphragm,39501,39599
Surgical Procedures on the Lips,40490,40799
Surgical Procedures on the Vestibule of Mouth,40800,40899
Surgical Procedures on the Tongue and Floor of Mouth,41000,41599
Surgical Procedures on the Dentoalveolar Structures,41800,41899
Surgical Procedures on the Palate and Uvula,42000,42299
Surgical Procedures on the Salivary Gland and Ducts,42300,42699
"Surgical Procedures on the Pharynx, Adenoids, and Tonsils",42700,42999
Surgical Procedures on the Esophagus,43020,43499
Surgical Procedures on the Stomach,43500,43999
Surgical Procedures on the Intestines (Except Rectum),44005,44799
Surgical Procedures on Meckel's Diverticulum and the Mesentery,44800,44899
Surgical Procedures on the Appendix,44900,44979
Surgical Procedures on the Colon and Rectum,45000,45999
Surgical Procedures on the Anus,46020,46999
Surgical Procedures on the Liver,47000,47399
Surgical Procedures on the Biliary Tract,47400,47999
Surgical Procedures on the Pancreas,48000,48999
"Surgical Procedures on the Abdomen, Peritoneum, and Omentum",49000,49999
Surgical Procedures on the Kidney,50010,50593
Surgical Procedures on the Ureter,50600,50980
Surgical Procedures on the Bladder,51020,52700
Surgical Procedures on the Urethra,53000,53899
Surgical Procedures on the Penis,54000,54450
Surgical Procedures on the Testis,54500,54699
Surgical Procedures on the Epididymis,54700,54901
Surgical Procedures on the Tunica Vaginalis,55000,55060
Surgical Procedures on the Scrotum,55100,55180
Surgical Procedures on the Vas Deferens,55200,55400
Surgical Procedures on the Spermatic Cord,55500,55559
Surgical Procedures on the Seminal Vesicles,55600,55680
Surgical Procedures on the Prostate,55700,55899
Reproductive System Procedures,55920,55920
